Source	Kind	Value
Cisco	IP	192.36.57[.]181
Cisco	IP	185.167.60[.]85
Cisco	IP	185.227.111[.]17
Cisco	IP	176.31.18[.]153
Cisco	IP	172.105.90[.]154
Cisco	IP	185.244.210[.]120
Cisco	IP	45.86.163[.]224
Cisco	IP	172.105.94[.]93
Cisco	IP	213.156.138[.]77
Cisco	IP	89.44.198[.]189
Cisco	IP	45.77.52[.]253
Cisco	IP	103.114.200[.]230
Cisco	IP	212.193.2[.]48
Cisco	IP	51.15.145[.]37
Cisco	IP	89.44.198[.]196
Cisco	IP	131.196.252[.]148
Cisco	IP	213.156.138[.]78
Cisco	IP	121.227.168[.]69
Cisco	IP	213.156.138[.]68
Cisco	IP	194.4.49[.]6
Cisco	IP	185.244.210[.]65
Cisco	IP	216.238.75[.]155
Cisco	IP	4.157.42[.]62
Cisco	IP	5.183.95[.]95
Cisco	IP	40.88.54[.]192
Cisco	IP	45.63.119[.]131
Cisco	IP	45.76.118[.]87
Cisco	IP	45.77.54[.]14
Cisco	IP	45.86.163[.]244
Cisco	IP	45.128.134[.]189
Cisco	IP	45.154.138[.]39
Cisco	IP	47.154.86[.]24
Cisco	IP	52.188.53[.]135
Cisco	IP	67.216.143[.]42
Cisco	IP	89.44.198[.]16
Cisco	IP	96.44.159[.]46
Cisco	IP	103.20.222[.]218
Cisco	IP	103.27.132[.]69
Cisco	IP	103.51.140[.]101
Cisco	IP	103.119.3[.]230
Cisco	IP	103.125.218[.]198
Cisco	IP	104.156.232[.]22
Cisco	IP	107.148.19[.]88
Cisco	IP	107.172.16[.]208
Cisco	IP	107.173.140[.]111
Cisco	IP	121.37.174[.]139
Cisco	IP	139.162.135[.]12
Cisco	IP	149.28.166[.]244
Cisco	IP	152.70.83[.]47
Cisco	IP	154.22.235[.]13
Cisco	IP	154.22.235[.]17
Cisco	IP	154.39.142[.]47
Cisco	IP	162.33.179[.]114
Cisco	IP	172.233.245[.]241
Cisco	IP	185.123.101[.]250
Cisco	IP	192.210.137[.]35
Cisco	IP	193.149.187[.]213
Cisco	IP	194.32.78[.]183
Cisco	IP	205.234.232[.]196
Cisco	IP	206.188.196[.]78
Cisco	IP	207.148.74[.]250
Cisco	IP	216.155.157[.]136
Cisco	IP	216.238.66[.]251
Cisco	IP	216.238.71[.]49
Cisco	IP	216.238.72[.]201
Cisco	IP	216.238.74[.]95
Cisco	IP	216.238.81[.]149
Cisco	IP	216.238.85[.]220
Cisco	IP	216.238.86[.]24
